code,nombre_cientifico,nombre_comun,familia,subfamilia,genero,orden,region,localidad_especifica,gps,calidad,sexo,precio,size_range
PA-100,Parides anchises drucei (Ecuador),null,Papilionidae,null,Parides,Lepidoptera,Ecuador,null,null,A1,M,5.00,6-7.0 cm
PA-101,Parides anchises drucei (Ecuador),null,Papilionidae,null,Parides,Lepidoptera,Ecuador,null,null,A1/A1-,M,3.00,6-7.0 cm
PA-102,Parides anchises koenigi,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,M,6.00,6.0 cm
PA-103,Parides anchises koenigi,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1 OUT OF STOCK,P,0.00,6-7.0 cm
PA-104,Parides anchises koenigi,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,3M,15.00,6.0 cm
PA-105,Parides anchises nephalion,null,Papilionidae,null,Parides,Lepidoptera,Brazil,null,null,A1,P,18.00,6-7.0 cm
PA-106,Parides anchises nephalion,null,Papilionidae,null,Parides,Lepidoptera,Brazil,null,null,A1,M,8.00,6.0 cm
PA-107,Parides anchises nephalion,null,Papilionidae,null,Parides,Lepidoptera,Brazil,null,null,A1/A1-,P,8.00,6-7.0 cm
PA-108,Parides bunichus chamissionia,null,Papilionidae,null,Parides,Lepidoptera,Brazil,"Sao Bento do Sul, SC, Brazil",null,A1,P,75.00,6-7.0 cm
PA-109,Parides bunichus chamissionia,null,Papilionidae,null,Parides,Lepidoptera,Brazil,"Sao Bento do Sul, SC, Brazil",null,A1,M,37.50,6-7.0 cm
PA-110,Parides bunichus ssp?,null,Papilionidae,null,Parides,Lepidoptera,Brazil,"Sao Bento do Sul, SC, Brazil",null,A1,3M,105.00,6-7.0 cm
PA-111,Parides chabrias,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,P,20.00,4-4.5 cm
PA-112,Parides chabrias,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,F,8.00,4-5.0 cm
PA-113,Parides cutorina,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,M,20.00,6-7.0 cm
PA-114,Parides cutorina,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1/A1-,M,15.00,6.7 cm
PA-115,Parides erlaces (=erathalion) lacydes/chinchipensis ?,null,Papilionidae,null,Parides,Lepidoptera,Peru,"Dept San Martin, N. Peru",null,A1,M,5.00,6-7.0 cm
PA-116,Parides erlaces (=erathalion) xanthias,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,P,18.00,6.0 cm
PA-117,Parides erlaces (=erathalion) xanthias,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,M,5.00,6.0 cm
PA-118,Parides erlaces (=erathalion) xanthias,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,3M,13.50,6.0 cm
PA-119,Parides erlaces (=erathalion) xanthias,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1/A1-,F,9.00,6-7.0 cm
PA-120,Parides erlaces (=erathalion) xanthias,null,Papilionidae,null,Parides,Lepidoptera,Peru,null,null,A1,F,15.00,6-7.0 cm
