code,nombre_cientifico,nombre_comun,familia,subfamilia,genero,orden,region,localidad_especifica,gps,calidad,sexo,precio,size_range
NY-192,Diaethria (Catacore) kolyma f. pasithea,null,Nymphalidae Agrias-Collicore-Perisamas,null,Diaethria (Catacore),Lepidoptera,Peru,null,null,A1,M,0.00,3.5 cm
NY-193,Doxocopa cyane,null,Nymphalidae Doxocopa-Preponas,null,Doxocopa,Lepidoptera,Peru,null,null,A1,M,0.00,4-4.5 cm
NY-194,Doxocopa cyane,null,Nymphalidae Doxocopa-Preponas,null,Doxocopa,Lepidoptera,Peru,null,null,A1,3M,0.00,4-4.5 cm
NY-195,Doxocopa lavinia,null,Nymphalidae Doxocopa-Preponas,null,Doxocopa,Lepidoptera,Peru,null,null,A1,M,0.00,5.0 cm
NY-196,Eunica bechina,null,Nymphalidae  Anaeas-Eunicas-Marpesias,null,Eunica,Lepidoptera,Peru,null,null,A1,M,0.00,5.5 cm
NY-197,Eunica carias ninetta,null,Nymphalidae  Anaeas-Eunicas-Marpesias,null,Eunica,Lepidoptera,Peru,null,null,A1,M,0.00,5.0 cm
NY-198,Hamadryas epinome,null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Peru,null,null,A1,3M,10.50,6.0 cm
NY-199,Hamadryas februa farentina (Mexico),null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Mexico,null,null,A1,M or F,3.75,6.0 cm
NY-200,Hamadryas feronia,null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Peru,null,null,A1,3M,9.75,5-5.5 cm
NY-201,Hamadryas feronia,null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Peru,null,null,A1,M,3.50,5-5.5 cm
NY-202,Hamadryas fornax,null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Peru/Brazil,null,null,A1,M,4.50,7.0 cm
NY-203,Hamadryas fornax (Belize),null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Belize,null,null,A1,M,7.50,5-6.0 cm
NY-204,Hamadryas glauconome,null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,El Salvador,null,null,A1,P,7.00,6.0 cm
NY-205,Hamadryas iphthime iphthime (Peru),null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Peru,null,null,A1,M,3.50,4.5-5.5 cm
NY-206,Hamadryas iphthime iphthime (Peru),null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Peru,null,null,A1,3M,9.00,4.5-5.5 cm
NY-207,Hamadryas laodamia laodamia,null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Peru,null,null,A1,M,5.00,6.0 cm
NY-208,Hamadryas laodamia laodamia,null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Peru,null,null,A1,3M,12.00,6.0 cm
NY-209,Hamadryas laodamia saurites,null,Nymphalidae Hamandryas- Euptychia -Eresia,null,Hamadryas,Lepidoptera,Ecuador,null,null,A1,P,11.00,4.5-5.5 cm
NY-210,Historis odius,null,Nymphalidae  Cathonopheles y Diversos species,null,Historis,Lepidoptera,Peru/Ecuador,null,null,A1,M,3.50,9.0-10.0 cm
NY-211,Historis odius,null,Nymphalidae  Cathonopheles y Diversos species,null,Historis,Lepidoptera,Peru/Ecuador,null,null,A1,3M,9.00,9.0-10.0 cm
NY-212,HYBRID #1 Agrias beatifica beata X Prepona chromus,null,Nymphalidae Agrias-Collicore-Perisamas,null,Agrias,Lepidoptera,Peru,null,null,A1,M,70.00,7-7.5 cm
NY-213,HYBRID #10 Agrias claudina lugens X Prepona omphale,null,Nymphalidae Agrias-Collicore-Perisamas,null,Agrias,Lepidoptera,Peru,null,null,A1,M,70.00,8.0 cm
NY-214,HYBRID #2 Agrias beatifica beata X Prepona chromus,null,Nymphalidae Agrias-Collicore-Perisamas,null,Agrias,Lepidoptera,Peru,null,null,A1,M,85.00,7-7.5 cm
NY-215,HYBRID #3 Agrias claudina lugens X Agrias beatifica beata,null,Nymphalidae Agrias-Collicore-Perisamas,null,Agrias,Lepidoptera,Peru,null,null,A1,M,85.00,7.0 cm
NY-216,HYBRID #4 Agrias claudina lugens X Agrias beatifica beata,null,Nymphalidae Agrias-Collicore-Perisamas,null,Agrias,Lepidoptera,Peru,null,null,A1,M,85.00,7.0 cm
NY-217,HYBRID #5 Agrias claudina lugens X Agrias beatifica beata,null,Nymphalidae Agrias-Collicore-Perisamas,null,Agrias,Lepidoptera,Peru,null,null,A1,M,85.00,7.0 cm
NY-218,HYBRID #6 Agrias claudina lugens X Agrias beatifica beata,null,Nymphalidae Agrias-Collicore-Perisamas,null,Agrias,Lepidoptera,Peru,null,null,A1,M,85.00,7.0 cm
NY-219,HYBRID #7 Agrias claudina lugens X Agrias beatifica beata,null,Nymphalidae Agrias-Collicore-Perisamas,null,Agrias,Lepidoptera,Peru,null,null,A1,M,85.00,7.0 cm
NY-220,Hypna (Anaea) clymenestra negra (Peru),null,Nymphalidae  Anaeas-Eunicas-Marpesias,null,Hypna (Anaea),Lepidoptera,Peru,null,null,A1,M,2.25,7.0-8.0 cm
NY-221,Hypna (Anaea) clymenestra negra (Peru),null,Nymphalidae  Anaeas-Eunicas-Marpesias,null,Hypna (Anaea),Lepidoptera,Peru,null,null,A1,3M,6.00,7.0-8.0 cm
