familia,species_name,genero,especie,locality
Cetoniidae,Gymnetis bajula,Gymnetis,bajula,Peru
Cetoniidae,Gymnetis chalcipes,Gymnetis,chalcipes,Peru
Cetoniidae,Gymnetis chevrolati,Gymnetis,chevrolati,Peru
Cetoniidae,Gymnetis coturnix,Gymnetis,coturnix,Peru
Cetoniidae,Gymnetis flavomarginata,Gymnetis,flavomarginata,Peru
Cetoniidae,Gymnetis merops,Gymnetis,merops,Peru
Cetoniidae,Gymnetis pantherina,Gymnetis,pantherina,Peru
Cetoniidae,Gymnetis pardalis,Gymnetis,pardalis,Peru
Cetoniidae,Gymnetis stellata,Gymnetis,stellata,Peru
