familia,species_name,genero,especie,locality
Uranidae,Sematura diana,Sematura,diana,Neotropical
Uranidae,Sematura mania empedocles,Sematura,mania empedocles,Neotropical
Uranidae,Sematura mania luna,Sematura,mania luna,Neotropical
Uranidae,Sematura mania lunus,Sematura,mania lunus,Neotropical
Uranidae,Urania fulgens,Urania,fulgens,Neotropical
Uranidae,Urania leilus,Urania,leilus,Neotropical
Uranidae,Urania ripheus,Urania,ripheus,Neotropical
